
STUDENT_ID  || SECTION_ID  || NUMERIC_GRADE                                                                                                           
----------  || ----------  || -------------                                                                                                           
       153  ||        144  ||            92                                                                                                           
       105  ||        155  ||            92                                                                                                           
       166  ||         88  ||            99                                                                                                           
       232  ||        149  ||            83                                                                                                           
       168  ||        133  ||            92                                                                                                           
       234  ||        137  ||            99                                                                                                           
       176  ||        115  ||            76                                                                                                           
       245  ||         82  ||            77                                                                                                           

8 rows selected.

