
STUDENT_ID  || SECTION_ID  || NUMERIC_GRADE                                                                                                           
----------  || ----------  || -------------                                                                                                           
       105  ||        155  ||            92                                                                                                           
       111  ||        133  ||            90                                                                                                           
       127  ||        155  ||            83                                                                                                           
       153  ||        144  ||            92                                                                                                           
       154  ||         88  ||            88                                                                                                           
       162  ||        133  ||            91                                                                                                           
       166  ||         88  ||            99                                                                                                           
       167  ||         88  ||            90                                                                                                           
       168  ||        133  ||            92                                                                                                           
       172  ||        155  ||            84                                                                                                           
       176  ||        115  ||            76                                                                                                           
       189  ||        137  ||            88                                                                                                           
       200  ||        144  ||            83                                                                                                           
       204  ||         88  ||            91                                                                                                           
       205  ||         88  ||            92                                                                                                           
       232  ||        149  ||            83                                                                                                           
       234  ||        137  ||            99                                                                                                           
       241  ||        155  ||            85                                                                                                           
       244  ||         82  ||            76                                                                                                           
       245  ||         82  ||            77                                                                                                           
       248  ||        155  ||            76                                                                                                           

21 rows selected.

